,A,Average Aggregation Delay (ms),IoT Device Battery (V),Data per Packet,B,Goodput (B/s),G/T (%),Packet Loss (%),Received Packets,Sent Packets,Gateway Received Packets (pps),Router Received Packet (pps),Sampling Interval (s),C,Throughput (B/s),Topology,AB,AC,BC,ABC
0,-1,162.71909745762713,2.647006779661017,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
1,-1,166.10058898305084,2.647211864406779,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
2,-1,166.82846610169491,2.646606779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
3,-1,166.50716949152542,2.646601694915253,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
4,-1,166.80058050847458,2.6466033898305072,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
5,-1,159.47088559322034,2.646606779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
6,-1,170.66121186440677,2.646201694915254,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
7,-1,166.53062711864408,2.646806779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
8,-1,166.96263983050846,2.646401694915253,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
9,-1,169.66975847457627,2.647611864406778,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
10,-1,169.41426694915253,2.647006779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
11,-1,165.20691101694916,2.646806779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
12,-1,170.68707203389832,2.646806779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
13,-1,168.78525,2.646806779661016,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
14,-1,168.91748305084747,2.646601694915253,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
15,-1,169.71390677966102,2.6464016949152542,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
16,-1,170.12120762711865,2.6466033898305072,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
17,-1,167.03787711864408,2.647411864406779,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
18,-1,169.57068220338982,2.647011864406779,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
19,-1,169.46942372881355,2.646601694915253,10,-1,1888.0,76.19047619047619,0.100671140939597,236,2384,23.6,238.4,10,-1,2478.0,wwwwwwwwwwc,1,1,1,-1
20,-1,88.16789460784314,2.625919607843135,10,-1,1884.8,64.88570641696502,-4.634146341463414,408,2788,40.8,278.8,10,1,2904.8,wwwwwwwwwwc,1,-1,-1,1
21,-1,87.74989695550352,2.529557009345792,10,-1,1894.4,63.958945271616194,-5.315638450502152,427,2788,42.7,278.8,10,1,2961.9,wwwwwwwwwwc,1,-1,-1,1
22,-1,91.03508313539193,2.526378301886791,10,-1,1897.6,64.32324327988881,-5.100430416068867,421,2788,42.1,278.8,10,1,2950.1,wwwwwwwwwwc,1,-1,-1,1
23,-1,88.15471498771498,2.624980392156862,10,-1,1900.8,65.13381078024878,-4.598278335724533,407,2788,40.7,278.8,10,1,2918.3,wwwwwwwwwwc,1,-1,-1,1
24,-1,91.86126699029126,2.627007766990289,10,-1,1904.0,64.89434219495568,-4.777618364418938,412,2788,41.2,278.8,10,1,2934.0,wwwwwwwwwwc,1,-1,-1,1
25,-1,88.78279950495049,2.652038613861384,10,-1,1891.2,65.18681924720805,-4.4906743185078914,404,2788,40.4,278.8,10,1,2901.2,wwwwwwwwwwc,1,-1,-1,1
26,-1,89.14805569007264,2.600311650485435,10,-1,1894.4,64.72376917557825,-4.813486370157819,413,2788,41.3,278.8,10,1,2926.9,wwwwwwwwwwc,1,-1,-1,1
27,-1,85.97522325581396,2.579562962962962,10,-1,1900.8,63.875260434168965,-5.423242467718794,430,2788,43.0,278.8,10,1,2975.8,wwwwwwwwwwc,1,-1,-1,1
28,-1,85.70827184466019,2.654385436893202,10,-1,1891.2,64.74051759550869,-4.777618364418938,412,2788,41.2,278.8,10,1,2921.2,wwwwwwwwwwc,1,-1,-1,1
29,-1,88.38460922330097,2.626284466019415,10,-1,1897.6,64.8175980325181,-4.777618364418938,412,2788,41.2,278.8,10,1,2927.6,wwwwwwwwwwc,1,-1,-1,1
30,-1,91.60501711491443,2.574334951456308,10,-1,1891.2,64.90716271407489,-4.6700143472022955,409,2788,40.9,278.8,10,1,2913.7,wwwwwwwwwwc,1,-1,-1,1
31,-1,87.74895432692308,2.577166666666666,10,-1,1900.8,64.6354733405876,-4.921090387374462,416,2788,41.6,278.8,10,1,2940.8,wwwwwwwwwwc,1,-1,-1,1
32,-1,87.49629439252337,2.527959433962263,10,-1,1888.0,63.826910074374574,-5.351506456241033,428,2788,42.8,278.8,10,1,2958.0,wwwwwwwwwwc,1,-1,-1,1
33,-1,88.05707766990291,2.652525242718445,10,-1,1904.0,64.89434219495568,-4.777618364418938,412,2788,41.2,278.8,10,1,2934.0,wwwwwwwwwwc,1,-1,-1,1
34,-1,92.54634541062802,2.575073076923075,10,-1,1894.4,64.66853280535263,-4.8493543758967,414,2788,41.4,278.8,10,1,2929.4,wwwwwwwwwwc,1,-1,-1,1
